t,T,x,xdot
0.0,180,0.001,1.1981105109970689e-05
10.0,180,0.001119811051099707,1.1981105109970689e-05
20.0,180,0.0012511229648101343,1.3131191371042728e-05
30.0,180,0.0013947688919729924,1.436459271628581e-05
40.0,180,0.0015516219972133921,1.568531052403997e-05
49.99999999999999,180,0.001722596153031931,1.709741558185387e-05
59.99999999999999,180,0.0019086465678972934,1.860504148653625e-05
69.99999999999999,180,0.0021107703409097996,2.0212377301250615e-05
80.0,180,0.002330006935183011,2.1923659427321098e-05
90.0,180,0.0025674385616711345,2.374316264881236e-05
100.0,180,0.002824190464759264,2.567519030881292e-05
110.00000000000001,180,0.003101431100536753,2.772406357774889e-05
120.0,180,0.003400372198297216,2.9894109776046277e-05
130.0,180,0.003722268695458293,3.21896497161077e-05
139.99999999999997,180,0.004068418535777687,3.4614984031939426e-05
149.99999999999997,180,0.0044401623204668944,3.7174378468920774e-05
159.99999999999997,180,0.004838882801579042,3.987204811121472e-05
169.99999999999994,180,0.005266004206881408,4.271214053023664e-05
179.99999999999994,180,0.005722991385326257,4.5698717844484886e-05
189.99999999999994,180,0.0062113487622156875,4.883573768894304e-05
199.99999999999994,180,0.006732619093228031,5.212703310123436e-05
209.99999999999991,180,0.007288382006645777,5.5576291341774596e-05
219.99999999999991,180,0.00788025232340932,5.918703167635417e-05
229.99999999999991,180,0.008509878145028208,6.296258216188887e-05
239.9999999999999,180,0.009178938699923176,6.690605548949683e-05
249.99999999999991,180,0.009889141939458784,7.102032395356076e-05
259.99999999999994,180,0.010642221875768347,7.530799363095628e-05
269.99999999999994,180,0.011439935654479297,7.977137787109493e-05
279.99999999999994,180,0.012284060356626573,8.441247021472766e-05
290.0,180,0.013176389525401028,8.923291687744546e-05
300.0,180,0.01411872941492422,9.423398895231922e-05
310.0,180,0.015112894959973571,9.941655450493512e-05
320.00000000000006,180,0.01616070546750316,0.00010478105075295872
330.00000000000006,180,0.01726398003291336,0.00011032745654102035
340.00000000000006,180,0.018424532686311765,0.00011605526533984053
350.0000000000001,180,0.019644167276469362,0.0001219634590157598
360.0000000000001,180,0.020924672102797554,0.00012805048263281926
370.0000000000001,180,0.022267814308436138,0.00013431422056385853
380.0000000000001,180,0.023675334050429344,0.00014075197419932063
390.00000000000017,180,0.025148938465950833,0.00014736044155214898
400.00000000000017,180,0.026690295456589637,0.00015413569906388036
410.00000000000017,180,0.028301027315793034,0.0001610731859203397
420.0000000000002,180,0.029982704227641106,0.0001681676911848074
430.0000000000002,180,0.031736837668158706,0.0001754133440517598
440.0000000000002,180,0.03356487374330798,0.00018280360751492735
450.0000000000003,180,0.03546818650059968,0.00019033127572916963
460.0000000000003,180,0.0374480712538628,0.00019798847532631223
470.0000000000003,180,0.03950573796306752,0.00020576667092047255
480.00000000000034,180,0.04164230471315227,0.00021365667500847476
490.0000000000003,180,0.043858791337510104,0.00022164866243578306
500.0000000000002,180,0.04615611323309142,0.0002297321895581314
510.0000000000002,180,0.04853507541493158,0.00023789621818401605
520.0000000000002,180,0.050996366858270165,0.0002461291443338583
530.0000000000001,180,0.0535405551762554,0.0002544188317985237
540.0000000000001,180,0.05616808168049213,0.000262752650423673
550.0000000000001,180,0.05887925687037157,0.0002711175189879445
560.0,180,0.061674256395203,0.00027949995248314287
570.0,180,0.06455311753064756,0.0002878861135444564
580.0,180,0.0675157362078408,0.0002962618677193249
589.9999999999999,180,0.07056186462990158,0.00030461284220607767
599.9999999999999,180,0.0736911095062917,0.0003129244876390121
609.9999999999999,180,0.07690293093075512,0.000321182142446342
619.9999999999998,180,0.08019664192338032,0.0003293710992625194
629.9999999999998,180,0.08357140865175905,0.0003374766728378727
639.9999999999998,180,0.0870262513403314,0.0003454842688572351
649.9999999999998,180,0.09056004587089225,0.000353379453056085
659.9999999999997,180,0.0941715260709753,0.00036114802000830517
669.9999999999997,180,0.09785928668052017,0.00036877606095448746
679.9999999999997,180,0.10162178698096021,0.00037625003004400343
689.9999999999995,180,0.10545735506473926,0.000383556808377905
699.9999999999995,180,0.10936419271736869,0.00039068376526294385
709.9999999999995,180,0.11334038087856098,0.0003976188161192284
719.9999999999994,180,0.11738388564380803,0.0004043504765247048
729.9999999999994,180,0.12149256476308772,0.00041086791192796894
739.9999999999994,180,0.12566417458924725,0.0004171609826159529
749.9999999999993,180,0.1298963774250843,0.0004232202835837067
759.9999999999993,180,0.13418674921527035,0.00042903717901860366
769.9999999999993,180,0.13853278752706594,0.0004346038311795587
779.9999999999992,180,0.14293191976228553,0.0004399132235219585
789.9999999999992,180,0.1473815115421816,0.0004449591779896056
799.9999999999992,180,0.15187887520682958,0.000449736366464798
809.9999999999991,180,0.15642127837118394,0.0004542403164354358
819.9999999999991,180,0.1610059524812104,0.0004584674110026475
829.9999999999991,180,0.16563010131533826,0.000462414883412784
839.9999999999991,180,0.1702909093788672,0.00046608080635289343
849.999999999999,180,0.17498555014184888,0.00046946407629816863
859.999999999999,180,0.17971119407427708,0.00047256439324281914
869.999999999999,180,0.1844650164360964,0.0004753822361819312
879.9999999999989,180,0.1892442047835053,0.00047791883474089075
889.9999999999989,180,0.1940459661572135,0.00048017613737082074
899.9999999999989,180,0.19886753392264603,0.00048215677654325106
909.9999999999987,180,0.2037061742364977,0.00048386403138516636
919.9999999999987,180,0.20855919211846732,0.0004853017881969628
929.9999999999987,180,0.21342393711137908,0.0004864744992911761
939.9999999999986,180,0.21829780851717528,0.0004873871405796205
949.9999999999986,180,0.2231782602003897,0.00048804516832144044
959.9999999999986,180,0.22806280495464085,0.0004884544754251144
